[410.7765957446809, 147.3404255319149]
[363.436170212766, 143.61702127659572]
[164.5, 127.6595744680851]
[207.87748344370863, 139.0728476821192]
[129.5, 94.92857142857147]
[293.22340425531917, 172.3404255319149]
[338.00993377483445, 197.35099337748343]
[403.24172185430467, 204.3046357615894]
[220.88297872340428, 348.93617021276594]
[318.75531914893617, 445.7446808510638]
[375.65384615384613, 471.53846153846155]
[434.7127659574468, 470.7446808510638]
[448.01063829787233, 872.8723404255319]
[355.98936170212767, 840.9574468085106]
[375.65384615384613, 888.4615384615385]
[368.34615384615387, 944.2307692307692]
[445.2692307692308, 1099.2307692307693]
[399.1153846153846, 1083.4615384615383]
[360.65384615384613, 1040.3846153846152]
[372.47872340425533, 1094.1489361702127]
[334.88461538461536, 1066.923076923077]
[409.1808510638298, 1211.7021276595744]
[350.65384615384613, 1190.3846153846152]
[297.47872340425533, 1275.5319148936169]
[314.5, 1215.4255319148936]
[213.34615384615384, 1220.3846153846152]
[252.5769230769231, 1201.5384615384614]
[271.4148936170213, 1164.8936170212764]
[342.96153846153845, 883.0769230769231]
[326.4230769230769, 860.0]
[311.3085106382979, 1390.4255319148936]
[341.0957446808511, 1439.3617021276596]
[361.3085106382979, 1479.255319148936]
[331.8076923076923, 1582.6923076923076]
[289.11538461538464, 1558.076923076923]
[368.7553191489362, 1736.7021276595744]
[313.968085106383, 1728.191489361702]
[269.2872340425532, 1703.191489361702]
[185.24468085106383, 1651.5957446808509]
[219.8846153846154, 1609.6153846153845]
[225.26923076923077, 1567.3076923076922]
[129.1153846153846, 2123.076923076923]
[223.5425531914894, 286.17021276595744]
[243.22340425531917, 403.1914893617021]
